job_skills,full_name
"food safety , internal communication , inventory management , daily maintenance , cleanliness , managing crew , quality food production , exceptional customer service , safety security , scheduling , training , leadership experience , teamwork , flexible schedule , fastpaced environment , high school degree , college tuition assistance , english classes second language , medical dental vision coverage , flexible spending accounts , short longterm disability life accident insurance , paid leaves absence , service awards , employee resource connection , adoption assistance , matching gifts program",David Chung
"customer service , sales , cashier , stocking , cleaning , planogram , communication , safety , cash handling , supervisory , walking , standing , bending , stooping , kneeling , lifting , climbing , driving , retail",Christina Lamb
"leadership , customer service , food safety , inventory management , scheduling , training , communication , previous management experience , education assistance , medical coverage , shortterm longterm disability insurance , life insurance , accident insurance , paid leaves absence , service awards , adoption assistance , matching gifts program",Tyler Mack
"customer service , sales , phone support , computer skills , data entry , cash handling , team player , driver license , valid driver license , reliable transportation , attention detail , ability pass criminal driving background check , ability pass preemployment drug test , bilingual english spanish",Taylor Jackson
"automated parking access control hardware , automated parking access control software , customer service , facility management , facility audits , revenue control equipment , clock standard military time , calculator optional , credit card machine , high school diploma , experience automated parking access control hardware software , mathematical skills add subtract multiply divide , language skills read write interpret english , reasoning ability apply common sense , adaptability deal change , judgment exhibit sound accurate , ability use clock calculator credit card machine , ability maintain pleasant mannerly demeanor , ability respond customer problems complaints , proactive personal drive , strong customer service skills , ability lead example , ability work flexible schedule",David Christian
"customer relationship management , sales , onboarding , client engagement , order fulfillment , customer service , communication , interpersonal skills , time management , prioritization , diligence , problemsolving , analytical thinking , proactiveness , teamwork , flexibility",Michael Hall
"customer service , cash register operation , merchandising , stocking , cleaning , teamwork , communication , planogram implementation , store management , safety policies , mathematical calculations , cash handling , driving , high school diploma , supervisory experience",Brandy Evans
"customer service , retail , cashiering , sales , communication , teamwork , problemsolving , high school diploma equivalent , ability stand walk hours , ability lift carry pounds , ability push pull arms pounds , ability bend waist twisting one hour shift , ability grasp reach manipulate objects hands , ability climb ladder store retrieve materials place remove signs",Erika Steele
"communication skills , tax expertise , retail experience , sales experience , teamwork , collaboration , h r block income tax course , continuing education , high school diploma , customer service , fastpaced environment , flexible remote work , k retirement savings plan , employee stock purchase plan , medical coverage , tax preparation benefit , best companies lists",Stephen Taylor
"customer service , team management , food handling , hiring , training , weekly pay , flexible schedule , free shift meals , best class training , continuous learning , advancement opportunities , paid time , k retirement plan , tuition benefits , medical dental vision , recognition program",Patrick Evans DDS
"tax preparation , customer service , retail , sales , marketing , communication , teamwork , collaboration , high school diploma , continuing education requirement , irs state requirements , medical coverage , k retirement savings plan , employee stock purchase plan , tax prep benefit , flexible work opportunities , remote work opportunities",Carla Hanson
"customer service , food handling , cash handling , food preparation , active listening , communication , conflict resolution , time management , teamwork , leadership , problemsolving , attention detail , writing , reading , mathematics , first aid , sanitation , pos systems , food safety regulations , labor laws , english language",Sara Reed
